,ITTER107,Territorio,TIPO_DATO15,Tipo dato,ETA1,Classe di età,SEXISTAT1,Sesso,CITTADINANZA,Cittadinanza,TIME,Seleziona periodo,Value,Flag Codes,Flags
507292,IT,Italia,JAN,popolazione al 1º gennaio,Y71,71 anni,9,totale,ITL,italiano-a,2018,2018,701179,,
506680,IT,Italia,JAN,popolazione al 1º gennaio,Y72,72 anni,9,totale,ITL,italiano-a,2018,2018,536105,,
522142,IT,Italia,JAN,popolazione al 1º gennaio,Y73,73 anni,9,totale,ITL,italiano-a,2018,2018,547357,,
522178,IT,Italia,JAN,popolazione al 1º gennaio,Y74,74 anni,9,totale,ITL,italiano-a,2018,2018,547048,,
540394,IT,Italia,JAN,popolazione al 1º gennaio,Y75,75 anni,9,totale,ITL,italiano-a,2018,2018,536867,,
540448,IT,Italia,JAN,popolazione al 1º gennaio,Y76,76 anni,9,totale,ITL,italiano-a,2018,2018,534151,,
557224,IT,Italia,JAN,popolazione al 1º gennaio,Y77,77 anni,9,totale,ITL,italiano-a,2018,2018,577979,,
564460,IT,Italia,JAN,popolazione al 1º gennaio,Y78,78 anni,9,totale,ITL,italiano-a,2018,2018,558800,,
578932,IT,Italia,JAN,popolazione al 1º gennaio,Y79,79 anni,9,totale,ITL,italiano-a,2018,2018,529446,,
59182,IT,Italia,JAN,popolazione al 1º gennaio,Y8,8 anni,9,totale,ITL,italiano-a,2018,2018,502965,,
810484,IT,Italia,JAN,popolazione al 1º gennaio,Y8,8 anni,9,totale,FRG,straniero-a,2018,2018,59753,,
571696,IT,Italia,JAN,popolazione al 1º gennaio,Y80,80 anni,9,totale,ITL,italiano-a,2018,2018,476387,,
614248,IT,Italia,JAN,popolazione al 1º gennaio,Y81,81 anni,9,totale,ITL,italiano-a,2018,2018,432156,,
586168,IT,Italia,JAN,popolazione al 1º gennaio,Y82,82 anni,9,totale,ITL,italiano-a,2018,2018,423988,,
593404,IT,Italia,JAN,popolazione al 1º gennaio,Y83,83 anni,9,totale,ITL,italiano-a,2018,2018,391613,,
601468,IT,Italia,JAN,popolazione al 1º gennaio,Y84,84 anni,9,totale,ITL,italiano-a,2018,2018,359047,,
621484,IT,Italia,JAN,popolazione al 1º gennaio,Y85,85 anni,9,totale,ITL,italiano-a,2018,2018,324606,,
621538,IT,Italia,JAN,popolazione al 1º gennaio,Y86,86 anni,9,totale,ITL,italiano-a,2018,2018,299685,,
629746,IT,Italia,JAN,popolazione al 1º gennaio,Y87,87 anni,9,totale,ITL,italiano-a,2018,2018,281783,,
636820,IT,Italia,JAN,popolazione al 1º gennaio,Y88,88 anni,9,totale,ITL,italiano-a,2018,2018,231485,,
651292,IT,Italia,JAN,popolazione al 1º gennaio,Y89,89 anni,9,totale,ITL,italiano-a,2018,2018,199722,,
65752,IT,Italia,JAN,popolazione al 1º gennaio,Y9,9 anni,9,totale,ITL,italiano-a,2018,2018,512556,,
795976,IT,Italia,JAN,popolazione al 1º gennaio,Y9,9 anni,9,totale,FRG,straniero-a,2018,2018,56317,,
644056,IT,Italia,JAN,popolazione al 1º gennaio,Y90,90 anni,9,totale,ITL,italiano-a,2018,2018,169661,,
725812,IT,Italia,JAN,popolazione al 1º gennaio,Y91,91 anni,9,totale,ITL,italiano-a,2018,2018,139006,,
658528,IT,Italia,JAN,popolazione al 1º gennaio,Y92,92 anni,9,totale,ITL,italiano-a,2018,2018,112490,,
665764,IT,Italia,JAN,popolazione al 1º gennaio,Y93,93 anni,9,totale,ITL,italiano-a,2018,2018,89356,,
665818,IT,Italia,JAN,popolazione al 1º gennaio,Y94,94 anni,9,totale,ITL,italiano-a,2018,2018,70323,,
680236,IT,Italia,JAN,popolazione al 1º gennaio,Y95,95 anni,9,totale,ITL,italiano-a,2018,2018,52010,,
687472,IT,Italia,JAN,popolazione al 1º gennaio,Y96,96 anni,9,totale,ITL,italiano-a,2018,2018,38551,,
694708,IT,Italia,JAN,popolazione al 1º gennaio,Y97,97 anni,9,totale,ITL,italiano-a,2018,2018,27148,,
701944,IT,Italia,JAN,popolazione al 1º gennaio,Y98,98 anni,9,totale,ITL,italiano-a,2018,2018,12614,,
709180,IT,Italia,JAN,popolazione al 1º gennaio,Y99,99 anni,9,totale,ITL,italiano-a,2018,2018,6642,,
709234,IT,Italia,JAN,popolazione al 1º gennaio,Y_GE100,100 anni e più,9,totale,ITL,italiano-a,2018,2018,14882,,
