,ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value,Flag Codes,Flags
123017,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y21,21 anni,2,coniugata/o,2019,2019,928,,
123022,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y21,21 anni,3,divorziata/o,2019,2019,16,,
123027,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y21,21 anni,4,vedova/o,2019,2019,20,,
123032,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y21,21 anni,99,totale,2019,2019,310367,,
133464,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y22,22 anni,1,nubile/celibe,2019,2019,307996,,
133469,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y22,22 anni,2,coniugata/o,2019,2019,1996,,
133474,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y22,22 anni,3,divorziata/o,2019,2019,25,,
133479,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y22,22 anni,4,vedova/o,2019,2019,28,,
133484,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y22,22 anni,99,totale,2019,2019,310066,,
145435,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y23,23 anni,1,nubile/celibe,2019,2019,304434,,
145440,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y23,23 anni,2,coniugata/o,2019,2019,3743,,
145445,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y23,23 anni,3,divorziata/o,2019,2019,45,,
145450,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y23,23 anni,4,vedova/o,2019,2019,24,,
145455,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y23,23 anni,99,totale,2019,2019,308282,,
154368,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y24,24 anni,1,nubile/celibe,2019,2019,303847,,
154373,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y24,24 anni,2,coniugata/o,2019,2019,6047,,
154378,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y24,24 anni,3,divorziata/o,2019,2019,74,,
154383,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y24,24 anni,4,vedova/o,2019,2019,25,,
154388,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y24,24 anni,99,totale,2019,2019,310034,,
164820,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y25,25 anni,1,nubile/celibe,2019,2019,304249,,
164825,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y25,25 anni,2,coniugata/o,2019,2019,10134,,
164830,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y25,25 anni,3,divorziata/o,2019,2019,85,,
164835,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y25,25 anni,4,vedova/o,2019,2019,30,,
164840,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y25,25 anni,99,totale,2019,2019,314552,,
184211,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y26,26 anni,1,nubile/celibe,2019,2019,310791,,
184216,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y26,26 anni,2,coniugata/o,2019,2019,16317,,
184221,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y26,26 anni,3,divorziata/o,2019,2019,159,,
184226,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y26,26 anni,4,vedova/o,2019,2019,49,,
184231,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y26,26 anni,99,totale,2019,2019,327377,,
185724,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y27,27 anni,1,nubile/celibe,2019,2019,300291,,
185729,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y27,27 anni,2,coniugata/o,2019,2019,24506,,
185734,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y27,27 anni,3,divorziata/o,2019,2019,257,,
185739,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y27,27 anni,4,vedova/o,2019,2019,35,,
185868,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y27,27 anni,99,totale,2019,2019,325160,,
